InvoiceNo,StockCode,ProductName,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,TotalPrice,DiscountAmount,PriceAfterDiscount,Revenue,EstimatedCost,Profit,ProfitMargin,InvoiceYear
211776,Sku_1902,Usb Cable,47,2021-01-01,84.77,58206.0,Portugal,0.04,Bank Transfer,29.62,Stationery,In-Store,Not Returned,Fedex,Amsterdam,High,3984.1899999999996,159.36759999999998,3824.8223999999996,3854.4423999999995,2390.5139999999997,1463.9283999999998,37.98,2021
985678,Sku_1452,Wireless Mouse,29,2021-01-01,73.99,25130.0,United States,0.31,Paypall,5.53,Electronics,In-Store,Not Returned,Dhl,Berlin,Low,2145.71,665.1701,1480.5399,1486.0699,1287.426,198.64390000000003,13.37,2021
858284,Sku_1319,T-Shirt,24,2021-01-01,45.88,87091.0,Norway,0.39,Bank Transfer,28.39,Electronics,In-Store,Not Returned,Royal Mail,Amsterdam,Medium,1101.1200000000001,429.43680000000006,671.6832,700.0732,660.672,39.40120000000002,5.63,2021
882119,Sku_1769,Wireless Mouse,42,2021-01-01,56.49,82349.0,United States,0.3,Credit Card,26.05,Electronics,In-Store,Returned,Ups,Paris,High,2372.58,711.774,1660.806,1686.856,1423.548,263.308,15.61,2021
613624,Sku_1882,Headphones,21,2021-01-01,40.71,56627.0,Sweden,0.01,Paypall,12.3,Electronics,Online,Not Returned,Fedex,Berlin,High,854.91,8.5491,846.3609,858.6609,512.9459999999999,345.71490000000006,40.26,2021
312803,Sku_1450,Headphones,41,2021-01-01,76.06,21832.0,United Kingdom,0.12,Paypall,14.38,Electronics,In-Store,Not Returned,Dhl,Paris,Medium,3118.46,374.2152,2744.2448,2758.6248,1871.076,887.5488,32.17,2021
258761,Sku_1895,Wall Clock,11,2021-01-01,95.67,44980.0,United Kingdom,0.06,Credit Card,10.44,Home Decor,Online,Not Returned,Royal Mail,Berlin,High,1052.3700000000001,63.1422,989.2278000000001,999.6678000000002,631.422,368.24580000000014,36.84,2021
766514,Sku_1078,Notebook,27,2021-01-01,74.93,34405.0,Spain,0.32,Credit Card,17.21,Stationery,In-Store,Not Returned,Royal Mail,Amsterdam,High,2023.1100000000001,647.3952,1375.7148000000002,1392.9248000000002,1213.8660000000002,179.05880000000002,12.85,2021
457092,Sku_1356,Usb Cable,48,2021-01-02,13.74,96410.0,Spain,0.31,Credit Card,23.1,Accessories,In-Store,Not Returned,Ups,Amsterdam,Medium,659.52,204.4512,455.0688,478.16880000000003,395.712,82.45680000000004,17.24,2021
121341,Sku_1118,Headphones,37,2021-01-02,28.84,46534.0,Spain,0.01,Bank Transfer,8.12,Electronics,Online,Not Returned,Fedex,Rome,Medium,1067.08,10.6708,1056.4091999999998,1064.5291999999997,640.2479999999999,424.2811999999998,39.86,2021
459698,Sku_1585,White Mug,41,2021-01-02,57.31,93092.0,France,0.4,Paypall,6.41,Home & Kitchen,Online,Not Returned,Dhl,Berlin,Medium,2349.71,939.884,1409.826,1416.236,1409.826,6.410000000000082,0.45,2021
305753,Sku_1520,T-Shirt,10,2021-01-02,4.4,21967.0,Portugal,0.14,Credit Card,13.53,Electronics,Online,Not Returned,Dhl,London,Medium,44.0,6.16,37.84,51.370000000000005,26.400000000000002,24.970000000000002,48.61,2021
408474,Sku_1781,Wall Clock,43,2021-01-02,31.39,66205.0,Norway,0.11,Bank Transfer,16.41,Home Decor,In-Store,Not Returned,Royal Mail,Amsterdam,High,1349.77,148.4747,1201.2953,1217.7053,809.862,407.8433000000001,33.49,2021
873429,Sku_1565,White Mug,9,2021-01-02,20.63,62433.0,Netherlands,0.19,Bank Transfer,7.31,Home & Kitchen,In-Store,Not Returned,Royal Mail,Berlin,Low,185.67,35.2773,150.3927,157.7027,111.40199999999999,46.300700000000006,29.36,2021
449903,Sku_1891,Backpack,42,2021-01-02,56.61,82998.0,Norway,0.06,Paypall,17.19,Accessories,Online,Not Returned,Ups,Paris,Medium,2377.62,142.6572,2234.9628,2252.1528,1426.5720000000001,825.5807999999997,36.66,2021
823776,Sku_1044,Wireless Mouse,3,2021-01-02,49.57,46432.0,United States,0.43,Paypall,24.6,Electronics,In-Store,Not Returned,Ups,Rome,Medium,148.71,63.9453,84.7647,109.3647,89.226,20.1387,18.41,2021
880427,Sku_1224,Wireless Mouse,49,2021-01-02,41.7,20989.0,Spain,0.08,Bank Transfer,27.22,Electronics,In-Store,Not Returned,Royal Mail,Amsterdam,Low,2043.3000000000002,163.46400000000003,1879.8360000000002,1907.0560000000003,1225.98,681.0760000000002,35.71,2021
448951,Sku_1527,Notebook,49,2021-01-02,29.45,54900.0,United States,0.26,Bank Transfer,25.29,Stationery,Online,Not Returned,Fedex,Paris,High,1443.05,375.193,1067.857,1093.147,865.8299999999999,227.317,20.79,2021
919745,Sku_1723,Wireless Mouse,44,2021-01-02,36.54,93340.0,Norway,0.01,Credit Card,5.14,Electronics,Online,Not Returned,Fedex,Amsterdam,Medium,1607.76,16.0776,1591.6824,1596.8224,964.656,632.1664000000001,39.59,2021
409044,Sku_1711,T-Shirt,6,2021-01-02,24.31,47776.0,United Kingdom,0.03,Credit Card,9.49,Apparel,In-Store,Not Returned,Fedex,Rome,Low,145.85999999999999,4.375799999999999,141.4842,150.9742,87.51599999999999,63.458200000000005,42.03,2021
178840,Sku_1240,Office Chair,48,2021-01-02,96.22,52706.0,Norway,0.17,Paypall,16.8,Furniture,In-Store,Not Returned,Ups,Berlin,Low,4618.5599999999995,785.1551999999999,3833.4047999999993,3850.2047999999995,2771.136,1079.0687999999996,28.03,2021
265767,Sku_1613,T-Shirt,25,2021-01-02,73.46,55156.0,Spain,0.14,Credit Card,22.36,Accessories,Online,Not Returned,Dhl,Amsterdam,Medium,1836.4999999999998,257.11,1579.3899999999999,1601.7499999999998,1101.8999999999999,499.8499999999999,31.21,2021
261297,Sku_1481,Wireless Mouse,7,2021-01-02,29.22,80671.0,Sweden,0.0,Paypall,16.31,Electronics,In-Store,Not Returned,Ups,Amsterdam,High,204.54,0.0,204.54,220.85,122.724,98.12599999999999,44.43,2021
972504,Sku_1094,Usb Cable,27,2021-01-02,58.57,77881.0,United Kingdom,0.07,Paypall,28.09,Stationery,In-Store,Returned,Royal Mail,Paris,Low,1581.39,110.69730000000001,1470.6927,1498.7827,948.8339999999998,549.9487000000001,36.69,2021
982799,Sku_1364,Wireless Mouse,22,2021-01-02,26.48,42406.0,Germany,0.09,Bank Transfer,11.86,Electronics,In-Store,Not Returned,Fedex,Paris,High,582.5600000000001,52.430400000000006,530.1296000000001,541.9896000000001,349.536,192.4536000000001,35.51,2021
149156,Sku_1184,Usb Cable,19,2021-01-02,6.74,26341.0,Norway,0.32,Credit Card,16.83,Furniture,Online,Not Returned,Ups,Berlin,High,128.06,40.9792,87.08080000000001,103.91080000000001,76.836,27.07480000000001,26.06,2021
308281,Sku_1135,White Mug,30,2021-01-02,33.28,95440.0,Netherlands,0.02,Credit Card,8.56,Home & Kitchen,Online,Not Returned,Ups,Paris,Low,998.4000000000001,19.968000000000004,978.4320000000001,986.9920000000001,599.04,387.9520000000001,39.31,2021
187453,Sku_1024,T-Shirt,22,2021-01-02,14.33,82190.0,Sweden,0.41,Paypall,22.95,Accessories,Online,Not Returned,Ups,Paris,Low,315.26,129.2566,186.0034,208.9534,189.15599999999998,19.79740000000001,9.47,2021
783189,Sku_1936,Office Chair,23,2021-01-02,75.31,53451.0,Spain,0.04,Bank Transfer,7.5,Furniture,Online,Not Returned,Ups,Rome,Low,1732.13,69.2852,1662.8448,1670.3448,1039.278,631.0668000000001,37.78,2021
125938,Sku_1317,Usb Cable,12,2021-01-02,93.95,57063.0,Italy,0.27,Bank Transfer,13.48,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low,1127.4,304.398,823.0020000000001,836.4820000000001,676.4399999999999,160.04200000000014,19.13,2021
159164,Sku_1332,Wall Clock,2,2021-01-02,29.09,64758.0,United Kingdom,0.19,Paypall,13.78,Home Decor,Online,Not Returned,Dhl,Rome,High,58.18,11.0542,47.1258,60.9058,34.908,25.997799999999998,42.69,2021
547746,Sku_1913,Wireless Mouse,29,2021-01-03,92.57,89857.0,Italy,0.0,Bank Transfer,25.88,Electronics,In-Store,Not Returned,Royal Mail,Berlin,High,2684.5299999999997,0.0,2684.5299999999997,2710.41,1610.7179999999998,1099.692,40.57,2021
823559,Sku_1561,T-Shirt,29,2021-01-03,78.52,81249.0,Germany,0.25,Credit Card,29.23,Stationery,In-Store,Not Returned,Royal Mail,Rome,Low,2277.08,569.27,1707.81,1737.04,1366.2479999999998,370.79200000000014,21.35,2021
684570,Sku_1680,Headphones,14,2021-01-03,74.05,82878.0,Australia,0.49,Bank Transfer,29.05,Electronics,Online,Not Returned,Ups,Rome,Low,1036.7,507.983,528.7170000000001,557.767,622.02,-64.25299999999993,-11.52,2021
409945,Sku_1801,Wall Clock,9,2021-01-03,6.96,26028.0,Norway,0.46,Bank Transfer,24.11,Home Decor,Online,Not Returned,Dhl,Rome,Low,62.64,28.814400000000003,33.825599999999994,57.935599999999994,37.584,20.35159999999999,35.13,2021
502681,Sku_1099,Headphones,45,2021-01-03,33.89,86311.0,United Kingdom,0.31,Credit Card,22.72,Electronics,Online,Not Returned,Fedex,London,Medium,1525.05,472.7655,1052.2845,1075.0045,915.03,159.97450000000003,14.88,2021
365470,Sku_1369,Desk Lamp,42,2021-01-03,61.11,98690.0,Australia,0.09,Credit Card,17.27,Furniture,In-Store,Returned,Ups,Berlin,High,2566.62,230.99579999999997,2335.6241999999997,2352.8941999999997,1539.9719999999998,812.9222,34.55,2021
782954,Sku_1592,T-Shirt,26,2021-01-03,88.92,10537.0,Germany,0.5,Bank Transfer,5.83,Stationery,Online,Not Returned,Fedex,Amsterdam,Medium,2311.92,1155.96,1155.96,1161.79,1387.1519999999998,-225.36199999999985,-19.4,2021
215819,Sku_1011,T-Shirt,29,2021-01-03,32.41,39759.0,Norway,0.33,Bank Transfer,24.93,Electronics,Online,Returned,Fedex,Amsterdam,Low,939.8899999999999,310.16369999999995,629.7262999999999,654.6562999999999,563.934,90.7222999999999,13.86,2021
366907,Sku_1719,Headphones,5,2021-01-03,51.19,78777.0,Sweden,0.44,Paypall,6.32,Electronics,In-Store,Not Returned,Ups,Amsterdam,Low,255.95,112.618,143.332,149.652,153.57,-3.9180000000000064,-2.62,2021
581873,Sku_1076,Wireless Mouse,22,2021-01-03,64.0,95292.0,Netherlands,0.24,Credit Card,13.99,Electronics,In-Store,Not Returned,Ups,Amsterdam,Low,1408.0,337.91999999999996,1070.08,1084.07,844.8,239.26999999999998,22.07,2021
241900,Sku_1586,T-Shirt,29,2021-01-03,17.16,69134.0,Italy,0.24,Paypall,11.78,Stationery,Online,Not Returned,Fedex,Paris,High,497.64,119.4336,378.2064,389.98639999999995,298.584,91.40239999999994,23.44,2021
409732,Sku_1973,Notebook,13,2021-01-03,46.62,79032.0,Netherlands,0.23,Paypall,17.97,Stationery,Online,Not Returned,Fedex,Berlin,Low,606.06,139.3938,466.66619999999995,484.6361999999999,363.63599999999997,121.00019999999995,24.97,2021
504427,Sku_1822,T-Shirt,7,2021-01-03,13.14,15695.0,Netherlands,0.08,Paypall,12.51,Electronics,Online,Not Returned,Fedex,London,Low,91.98,7.3584000000000005,84.6216,97.1316,55.188,41.9436,43.18,2021
637857,Sku_1347,Headphones,13,2021-01-03,21.07,65413.0,Australia,0.03,Credit Card,6.34,Electronics,Online,Not Returned,Ups,Berlin,Low,273.91,8.2173,265.6927,272.0327,164.346,107.68669999999997,39.59,2021
327966,Sku_1442,Blue Pen,45,2021-01-03,10.08,40949.0,United Kingdom,0.45,Paypall,12.71,Stationery,In-Store,Not Returned,Royal Mail,Paris,Low,453.6,204.12,249.48000000000002,262.19,272.16,-9.970000000000027,-3.8,2021
137860,Sku_1690,Office Chair,48,2021-01-03,61.69,10614.0,Germany,0.14,Credit Card,10.5,Furniture,Online,Not Returned,Fedex,Rome,Medium,2961.12,414.5568,2546.5632,2557.0632,1776.6719999999998,780.3912000000003,30.52,2021
302630,Sku_1087,Office Chair,48,2021-01-03,85.42,44575.0,Australia,0.18,Credit Card,13.01,Furniture,Online,Not Returned,Ups,London,Low,4100.16,738.0287999999999,3362.1312,3375.1412,2460.096,915.0452,27.11,2021
623225,Sku_1464,Office Chair,21,2021-01-03,57.72,93109.0,Netherlands,0.16,Paypall,29.22,Furniture,Online,Not Returned,Royal Mail,Rome,Medium,1212.12,193.9392,1018.1807999999999,1047.4008,727.2719999999999,320.12879999999996,30.56,2021
768875,Sku_1776,White Mug,28,2021-01-03,94.31,69426.0,France,0.23,Credit Card,18.66,Home & Kitchen,In-Store,Not Returned,Ups,Amsterdam,Low,2640.6800000000003,607.3564000000001,2033.3236000000002,2051.9836,1584.408,467.5756000000001,22.79,2021
695983,Sku_1493,Wireless Mouse,44,2021-01-03,96.06,22889.0,Germany,0.03,Paypall,22.33,Electronics,Online,Not Returned,Ups,Amsterdam,Medium,4226.64,126.7992,4099.8408,4122.1708,2535.984,1586.1868,38.48,2021
353078,Sku_1221,Notebook,38,2021-01-03,58.51,57501.0,Netherlands,0.19,Paypall,24.93,Stationery,In-Store,Not Returned,Fedex,Rome,Low,2223.38,422.4422,1800.9378000000002,1825.8678000000002,1334.0279999999998,491.8398000000004,26.94,2021
866887,Sku_1996,Wireless Mouse,3,2021-01-03,61.47,63486.0,Netherlands,0.01,Paypall,14.8,Electronics,In-Store,Not Returned,Ups,Paris,Low,184.41,1.8441,182.5659,197.3659,110.64599999999999,86.71990000000002,43.94,2021
468893,Sku_1514,Desk Lamp,28,2021-01-04,53.27,22989.0,Australia,0.27,Credit Card,25.76,Furniture,Online,Not Returned,Dhl,Berlin,Low,1491.5600000000002,402.72120000000007,1088.8388,1114.5988,894.936,219.66279999999995,19.71,2021
255976,Sku_1117,Desk Lamp,45,2021-01-04,34.1,24764.0,Italy,0.21,Bank Transfer,7.71,Furniture,In-Store,Not Returned,Royal Mail,London,Low,1534.5,322.245,1212.255,1219.9650000000001,920.7,299.2650000000001,24.53,2021
930222,Sku_1977,Desk Lamp,43,2021-01-04,42.74,12810.0,Australia,0.06,Paypall,10.96,Furniture,Online,Not Returned,Dhl,Rome,Medium,1837.8200000000002,110.26920000000001,1727.5508000000002,1738.5108000000002,1102.692,635.8188000000002,36.57,2021
955012,Sku_1186,Usb Cable,43,2021-01-04,96.4,51329.0,United Kingdom,0.01,Bank Transfer,21.31,Electronics,Online,Not Returned,Dhl,Rome,Low,4145.2,41.452,4103.748,4125.058,2487.1200000000003,1637.9379999999996,39.71,2021
105636,Sku_1541,Wireless Mouse,33,2021-01-04,49.44,14669.0,Germany,0.48,Bank Transfer,10.17,Electronics,In-Store,Not Returned,Royal Mail,Rome,Medium,1631.52,783.1296,848.3904,858.5604,978.9119999999999,-120.35159999999996,-14.02,2021
361578,Sku_1578,White Mug,13,2021-01-04,37.48,73290.0,Netherlands,0.21,Paypall,21.47,Home & Kitchen,Online,Not Returned,Dhl,Rome,High,487.23999999999995,102.32039999999999,384.91959999999995,406.3896,292.34399999999994,114.04560000000004,28.06,2021
439273,Sku_1310,Wall Clock,41,2021-01-04,65.86,64940.0,Netherlands,0.23,Bank Transfer,22.9,Home Decor,Online,Not Returned,Ups,Rome,High,2700.2599999999998,621.0598,2079.2001999999998,2102.1002,1620.156,481.9441999999999,22.93,2021
383816,Sku_1929,Headphones,45,2021-01-04,60.28,17942.0,Germany,0.19,Bank Transfer,29.25,Electronics,Online,Not Returned,Royal Mail,Berlin,High,2712.6,515.394,2197.206,2226.456,1627.56,598.8960000000002,26.9,2021
892244,Sku_1378,White Mug,37,2021-01-04,46.46,35237.0,Sweden,0.01,Bank Transfer,28.28,Home & Kitchen,Online,Not Returned,Fedex,Amsterdam,Low,1719.02,17.1902,1701.8298,1730.1098,1031.412,698.6977999999999,40.38,2021
327693,Sku_1810,Headphones,5,2021-01-04,60.77,51197.0,Portugal,0.07,Credit Card,12.7,Electronics,In-Store,Not Returned,Dhl,London,Low,303.85,21.269500000000004,282.58050000000003,295.2805,182.31,112.97050000000002,38.26,2021
621393,Sku_1411,Usb Cable,36,2021-01-04,67.84,70752.0,France,0.43,Credit Card,5.28,Apparel,Online,Not Returned,Royal Mail,London,Medium,2442.2400000000002,1050.1632000000002,1392.0768,1397.3568,1465.344,-67.98720000000003,-4.87,2021
100654,Sku_1420,Office Chair,40,2021-01-04,78.1,43575.0,United Kingdom,0.22,Credit Card,6.55,Furniture,In-Store,Not Returned,Ups,London,Medium,3124.0,687.28,2436.7200000000003,2443.2700000000004,1874.3999999999996,568.8700000000008,23.28,2021
680222,Sku_1070,Desk Lamp,44,2021-01-04,94.71,29235.0,Norway,0.25,Bank Transfer,8.33,Furniture,Online,Not Returned,Dhl,London,High,4167.24,1041.81,3125.43,3133.7599999999998,2500.3439999999996,633.4160000000002,20.21,2021
429478,Sku_1829,Notebook,43,2021-01-04,30.42,56225.0,France,0.0,Credit Card,14.17,Stationery,In-Store,Not Returned,Fedex,Paris,Low,1308.0600000000002,0.0,1308.0600000000002,1322.2300000000002,784.8359999999999,537.3940000000003,40.64,2021
727751,Sku_1109,Headphones,41,2021-01-04,55.62,96309.0,Netherlands,0.37,Bank Transfer,23.6,Electronics,Online,Not Returned,Royal Mail,Rome,Low,2280.42,843.7554,1436.6646,1460.2646,1368.252,92.01260000000002,6.3,2021
225851,Sku_1284,Wireless Mouse,17,2021-01-04,59.16,79605.0,Netherlands,0.32,Credit Card,16.09,Electronics,In-Store,Not Returned,Royal Mail,London,Medium,1005.7199999999999,321.8304,683.8896,699.9796,603.4319999999999,96.5476000000001,13.79,2021
653375,Sku_1882,Backpack,4,2021-01-04,10.13,30290.0,Norway,0.02,Bank Transfer,8.98,Accessories,In-Store,Not Returned,Dhl,Amsterdam,Low,40.52,0.8104000000000001,39.7096,48.6896,24.312,24.377599999999997,50.07,2021
766978,Sku_1769,Backpack,19,2021-01-04,72.62,38274.0,Germany,0.0,Bank Transfer,8.48,Accessories,Online,Not Returned,Ups,London,High,1379.7800000000002,0.0,1379.7800000000002,1388.2600000000002,827.868,560.3920000000002,40.37,2021
894878,Sku_1601,Wall Clock,34,2021-01-04,17.48,13800.0,United Kingdom,0.31,Paypall,23.13,Home Decor,In-Store,Returned,Ups,Paris,High,594.32,184.2392,410.08080000000007,433.21080000000006,356.592,76.61880000000008,17.69,2021
988559,Sku_1872,Usb Cable,17,2021-01-04,75.27,87240.0,Spain,0.29,Bank Transfer,12.68,Accessories,Online,Not Returned,Dhl,Rome,Medium,1279.59,371.08109999999994,908.5089,921.1889,767.754,153.43489999999997,16.66,2021
411011,Sku_1568,Wireless Mouse,25,2021-01-04,18.41,86966.0,Sweden,0.44,Credit Card,21.85,Electronics,Online,Not Returned,Dhl,Amsterdam,High,460.25,202.51,257.74,279.59000000000003,276.15,3.4400000000000546,1.23,2021
946533,Sku_1297,Notebook,17,2021-01-05,33.81,26331.0,United Kingdom,0.11,Bank Transfer,25.24,Stationery,In-Store,Not Returned,Ups,London,High,574.77,63.2247,511.5453,536.7853,344.862,191.92329999999998,35.75,2021
258272,Sku_1498,T-Shirt,11,2021-01-05,87.51,25135.0,Sweden,0.29,Credit Card,27.66,Furniture,Online,Not Returned,Royal Mail,Amsterdam,Medium,962.61,279.1569,683.4531,711.1130999999999,577.566,133.5470999999999,18.78,2021
326179,Sku_1560,Headphones,16,2021-01-05,18.24,86279.0,Australia,0.34,Paypall,17.36,Electronics,Online,Not Returned,Dhl,Paris,Medium,291.84,99.2256,192.6144,209.9744,175.10399999999998,34.87040000000002,16.61,2021
399260,Sku_1125,Headphones,13,2022-01-01,2.57,45866.0,United Kingdom,0.0,Credit Card,6.99,Electronics,Online,Not Returned,Royal Mail,London,Low,33.41,0.0,33.41,40.4,20.046,20.354,50.38,2022
978548,Sku_1218,Notebook,5,2022-01-01,98.63,67714.0,Italy,0.25,Credit Card,17.93,Stationery,Online,Not Returned,Fedex,Berlin,Low,493.15,123.2875,369.86249999999995,387.79249999999996,295.89,91.90249999999997,23.7,2022
527443,Sku_1244,Office Chair,7,2022-01-01,91.5,17511.0,Norway,0.32,Bank Transfer,18.31,Furniture,In-Store,Returned,Ups,Berlin,Medium,640.5,204.96,435.53999999999996,453.84999999999997,384.3,69.54999999999995,15.32,2022
757302,Sku_1479,Desk Lamp,13,2022-01-01,43.59,62871.0,Netherlands,0.46,Credit Card,14.79,Furniture,In-Store,Not Returned,Fedex,London,Medium,566.6700000000001,260.66820000000007,306.0018,320.7918,340.002,-19.210199999999986,-5.99,2022
671952,Sku_1442,Usb Cable,22,2022-01-01,72.95,57643.0,Italy,0.14,Paypall,23.79,Furniture,Online,Not Returned,Fedex,Amsterdam,Medium,1604.9,224.68600000000004,1380.214,1404.004,962.94,441.06399999999985,31.41,2022
783429,Sku_1650,Wall Clock,2,2022-01-01,91.96,91159.0,Sweden,0.0,Paypall,22.82,Home Decor,Online,Not Returned,Royal Mail,Amsterdam,High,183.92,0.0,183.92,206.73999999999998,110.35199999999999,96.38799999999999,46.62,2022
187342,Sku_1500,Notebook,40,2022-01-01,24.63,14834.0,United States,0.48,Bank Transfer,29.65,Stationery,In-Store,Not Returned,Fedex,Amsterdam,High,985.1999999999999,472.89599999999996,512.304,541.954,591.1199999999999,-49.16599999999994,-9.07,2022
114407,Sku_1226,Wireless Mouse,26,2022-01-01,93.1,20169.0,Norway,0.03,Credit Card,29.81,Electronics,Online,Returned,Ups,Berlin,High,2420.6,72.618,2347.982,2377.792,1452.36,925.432,38.92,2022
213926,Sku_1897,Backpack,29,2022-01-01,36.0,89240.0,Germany,0.2,Credit Card,24.76,Accessories,Online,Not Returned,Dhl,Amsterdam,Low,1044.0,208.8,835.2,859.96,626.4,233.56000000000006,27.16,2022
421345,Sku_1813,Backpack,8,2022-01-01,73.58,47456.0,France,0.38,Bank Transfer,28.73,Accessories,In-Store,Returned,Royal Mail,Rome,Low,588.64,223.6832,364.9568,393.6868,353.18399999999997,40.502800000000036,10.29,2022
966525,Sku_1768,T-Shirt,20,2022-01-01,6.74,86996.0,Spain,0.35,Bank Transfer,23.93,Stationery,Online,Not Returned,Dhl,Berlin,Low,134.8,47.18,87.62,111.55000000000001,80.88,30.670000000000016,27.49,2022
547564,Sku_1254,T-Shirt,49,2022-01-01,39.55,55223.0,Australia,0.46,Bank Transfer,14.48,Stationery,In-Store,Not Returned,Dhl,Paris,Low,1937.9499999999998,891.457,1046.493,1060.973,1162.7699999999998,-101.7969999999998,-9.59,2022
837341,Sku_1069,Office Chair,3,2022-01-01,47.68,95679.0,Spain,0.14,Credit Card,25.1,Furniture,In-Store,Not Returned,Fedex,London,Medium,143.04,20.0256,123.0144,148.1144,85.824,62.29039999999999,42.06,2022
642166,Sku_1454,Wall Clock,41,2022-01-01,3.18,82855.0,Belgium,0.48,Bank Transfer,22.1,Home Decor,Online,Not Returned,Ups,Amsterdam,Medium,130.38,62.58239999999999,67.7976,89.89760000000001,78.228,11.669600000000017,12.98,2022
183100,Sku_1577,Blue Pen,6,2022-01-01,81.5,28798.0,Spain,0.14,Paypall,29.49,Stationery,Online,Not Returned,Royal Mail,Paris,High,489.0,68.46000000000001,420.53999999999996,450.03,293.4,156.63,34.8,2022
965061,Sku_1001,Office Chair,1,2022-01-01,22.41,15963.0,Sweden,0.22,Paypall,22.62,Furniture,Online,Not Returned,Royal Mail,Rome,Low,22.41,4.9302,17.4798,40.0998,13.446,26.653800000000004,66.47,2022
548636,Sku_1494,Backpack,19,2022-01-01,89.17,22797.0,United States,0.45,Bank Transfer,21.5,Accessories,Online,Not Returned,Ups,Rome,Low,1694.23,762.4035,931.8265,953.3265,1016.538,-63.2115,-6.63,2022
594308,Sku_1324,Notebook,40,2022-01-01,81.31,31875.0,Sweden,0.37,Bank Transfer,6.64,Stationery,Online,Not Returned,Fedex,Berlin,High,3252.4,1203.388,2049.012,2055.652,1951.44,104.21199999999999,5.07,2022
323059,Sku_1780,Blue Pen,12,2022-01-01,76.99,21995.0,Spain,0.11,Credit Card,12.24,Stationery,In-Store,Not Returned,Ups,London,Medium,923.8799999999999,101.62679999999999,822.2531999999999,834.4931999999999,554.328,280.1651999999999,33.57,2022
667456,Sku_1402,Blue Pen,2,2022-01-01,69.16,41366.0,Australia,0.38,Credit Card,15.35,Stationery,Online,Not Returned,Ups,London,Medium,138.32,52.5616,85.7584,101.10839999999999,82.99199999999999,18.1164,17.92,2022
350396,Sku_1850,White Mug,41,2022-01-01,43.63,62278.0,Germany,0.03,Credit Card,5.87,Home & Kitchen,Online,Not Returned,Royal Mail,Amsterdam,High,1788.8300000000002,53.6649,1735.1651000000002,1741.0351,1073.298,667.7371,38.35,2022
874769,Sku_1814,Wall Clock,36,2022-01-01,6.06,17008.0,United States,0.06,Bank Transfer,28.67,Home Decor,In-Store,Not Returned,Fedex,Paris,High,218.16,13.089599999999999,205.0704,233.74040000000002,130.896,102.84440000000004,44.0,2022
417006,Sku_1128,Office Chair,37,2022-01-01,94.8,55038.0,Belgium,0.07,Credit Card,28.33,Furniture,In-Store,Not Returned,Dhl,Rome,Medium,3507.6,245.532,3262.0679999999998,3290.3979999999997,2104.56,1185.8379999999997,36.04,2022
128004,Sku_1482,White Mug,40,2022-01-01,53.81,77481.0,United States,0.23,Paypall,19.14,Home & Kitchen,Online,Not Returned,Royal Mail,Berlin,High,2152.4,495.052,1657.348,1676.488,1291.44,385.048,22.97,2022
906903,Sku_1145,Blue Pen,9,2022-01-02,76.96,84701.0,United States,0.15,Credit Card,5.56,Stationery,Online,Not Returned,Dhl,Rome,Medium,692.64,103.896,588.744,594.304,415.58399999999995,178.72000000000003,30.07,2022
624252,Sku_1624,Headphones,35,2022-01-02,64.16,28672.0,Germany,0.14,Bank Transfer,5.01,Electronics,In-Store,Not Returned,Dhl,Berlin,Medium,2245.6,314.384,1931.216,1936.2259999999999,1347.36,588.866,30.41,2022
716108,Sku_1799,Desk Lamp,41,2022-01-02,84.85,11324.0,Australia,0.06,Credit Card,9.21,Furniture,Online,Not Returned,Fedex,Paris,Medium,3478.85,208.731,3270.1189999999997,3279.3289999999997,2087.31,1192.0189999999998,36.35,2022
726517,Sku_1500,White Mug,49,2022-01-02,36.99,82388.0,Germany,0.18,Paypall,26.51,Home & Kitchen,Online,Not Returned,Royal Mail,Rome,Medium,1812.51,326.2518,1486.2582,1512.7682,1087.5059999999999,425.2622000000001,28.11,2022
577044,Sku_1455,T-Shirt,40,2022-01-02,87.97,54137.0,United Kingdom,0.03,Paypall,29.24,Electronics,Online,Not Returned,Dhl,Paris,Low,3518.8,105.56400000000001,3413.2360000000003,3442.476,2111.2799999999997,1331.1960000000004,38.67,2022
951740,Sku_1778,Wireless Mouse,23,2022-01-02,20.9,63071.0,Sweden,0.16,Paypall,20.89,Electronics,In-Store,Not Returned,Royal Mail,Paris,High,480.7,76.912,403.788,424.678,288.41999999999996,136.25800000000004,32.09,2022
446113,Sku_1403,Backpack,8,2022-01-02,40.32,54617.0,Australia,0.34,Paypall,9.86,Accessories,Online,Not Returned,Dhl,London,High,322.56,109.67040000000001,212.88959999999997,222.7496,193.536,29.213599999999985,13.11,2022
114568,Sku_1007,Blue Pen,15,2022-01-02,47.92,50742.0,Australia,0.05,Bank Transfer,8.36,Stationery,Online,Not Returned,Royal Mail,London,Medium,718.8000000000001,35.940000000000005,682.86,691.22,431.28,259.94000000000005,37.61,2022
